rf.img_name,truth,rf,svm,xgb,random,majority
223060_rot_270.jpg,0.615457,0.615457,0.615457,0.615457,0.602576,0.602576
225022_h_flip_rot_180.jpg,0.707897,0.707897,0.707897,0.600493,0.681592,0.677494
226022_h_flip_rot_180.jpg,0.663977,0.663977,0.65954,0.663977,0.530586,0.663977
226022_h_flip_rot_270.jpg,0.661988,0.661988,0.661988,0.661988,0.661988,0.661988
226022_h_flip_rot_90.jpg,0.665523,0.665523,0.665523,0.665523,0.558467,0.665523
226033_h_flip_rot_180.jpg,0.772412,0.772412,0.772412,0.671019,0.616501,0.616501
226033_h_flip_rot_270.jpg,0.770009,0.770009,0.770009,0.770009,0.770009,0.612507
226033_h_flip_rot_90.jpg,0.775281,0.775281,0.775281,0.775281,0.611827,0.611827
226033_h_flip.jpg,0.770511,0.770511,0.770511,0.674534,0.674534,0.615759
226033_rot_180.jpg,0.768973,0.768973,0.768973,0.676844,0.621076,0.621076
226033_rot_270.jpg,0.769043,0.769043,0.769043,0.769043,0.61911,0.61911
226043_rot_270.jpg,0.680751,0.680751,0.680751,0.604759,0.664604,0.651252
226060_h_flip.jpg,0.7774,0.7774,0.7774,0.7774,0.70735,0.758136
226060_original.jpg,0.776892,0.776892,0.776892,0.776892,0.692346,0.75893
228076_h_flip_rot_180.jpg,0.728422,0.728422,0.728422,0.728422,0.728422,0.624758
228076_h_flip_rot_270.jpg,0.727324,0.727324,0.727324,0.727324,0.611417,0.620744
228076_h_flip_rot_90.jpg,0.729936,0.729936,0.729936,0.729936,0.729936,0.621332
228076_h_flip.jpg,0.730069,0.730069,0.730069,0.730069,0.730069,0.618717
228076_original.jpg,0.730792,0.730792,0.650077,0.730792,0.586208,0.627308
228076_rot_180.jpg,0.722688,0.722688,0.722688,0.722688,0.613199,0.622861
228076_rot_270.jpg,0.725051,0.725051,0.725051,0.725051,0.725051,0.625366
228076_rot_90.jpg,0.726265,0.726265,0.726265,0.726265,0.611975,0.624981
230063_rot_180.jpg,0.784753,0.784753,0.784753,0.784753,0.784753,0.735611
230098_h_flip_rot_180.jpg,0.654546,0.654546,0.654546,0.610676,0.654546,0.56943
230098_h_flip_rot_270.jpg,0.658491,0.658491,0.658491,0.610772,0.658491,0.565907
230098_h_flip_rot_90.jpg,0.655403,0.655403,0.655403,0.612694,0.612694,0.56931
230098_h_flip.jpg,0.652812,0.652812,0.652812,0.606638,0.652812,0.566665
230098_rot_270.jpg,0.657074,0.657074,0.657074,0.612699,0.612728,0.563094
230098_rot_90.jpg,0.658713,0.658713,0.658713,0.606972,0.619274,0.561421
23050_rot_90.jpg,0.786906,0.786906,0.786906,0.786906,0.75913,0.762225
232076_h_flip_rot_90.jpg,0.546895,0.546895,0.546895,0.513752,0.506375,0.506375
232076_original.jpg,0.546134,0.546134,0.546134,0.546134,0.503401,0.49642
235098_h_flip_rot_180.jpg,0.765784,0.745028,0.765784,0.765784,0.72259,0.737114
236037_h_flip_rot_270.jpg,0.540551,0.540551,0.540551,0.540551,0.540551,0.515797
236037_h_flip_rot_90.jpg,0.540219,0.540219,0.540219,0.540219,0.540219,0.517656
236037_rot_90.jpg,0.538131,0.538131,0.538131,0.538131,0.524807,0.514167
24077_h_flip_rot_270.jpg,0.672086,0.672086,0.672086,0.672086,0.672086,0.672086
24077_rot_270.jpg,0.675374,0.675374,0.675374,0.675374,0.675374,0.675374
24077_rot_90.jpg,0.6753,0.6753,0.6753,0.6753,0.53549,0.6753
241004_h_flip_rot_90.jpg,0.788443,0.788443,0.788443,0.775849,0.760085,0.775849
241004_rot_180.jpg,0.791794,0.791794,0.791794,0.776564,0.737213,0.776564
241004_rot_270.jpg,0.786114,0.786114,0.786114,0.773099,0.782924,0.773099
241048_rot_90.jpg,0.758857,0.72313,0.758857,0.72313,0.657854,0.705286
243095_rot_270.jpg,0.782428,0.782428,0.782428,0.762472,0.707454,0.762472
243095_rot_90.jpg,0.780422,0.780422,0.780422,0.780422,0.773726,0.765227
247012_h_flip_rot_270.jpg,0.791321,0.791321,0.791321,0.791321,0.690706,0.724439
249021_rot_270.jpg,0.819342,0.791923,0.819342,0.791923,0.786547,0.786547
250047_rot_90.jpg,0.799034,0.799034,0.799034,0.773997,0.74916,0.736481
250087_rot_180.jpg,0.675203,0.638734,0.675203,0.638734,0.675203,0.638734
253027_h_flip_rot_180.jpg,0.754621,0.754621,0.754621,0.754621,0.724257,0.754621
253027_h_flip_rot_270.jpg,0.750511,0.750511,0.750511,0.750511,0.617599,0.750511
253027_h_flip_rot_90.jpg,0.757714,0.757714,0.757714,0.757714,0.730754,0.757714
253027_h_flip.jpg,0.756744,0.756744,0.756744,0.756744,0.600039,0.756744
253027_original.jpg,0.75696,0.75696,0.75696,0.75696,0.603202,0.75696
253027_rot_180.jpg,0.757726,0.757726,0.757726,0.757726,0.624095,0.757726
253027_rot_270.jpg,0.755431,0.755431,0.755431,0.755431,0.755431,0.755431
253027_rot_90.jpg,0.754436,0.754436,0.754436,0.754436,0.735251,0.754436
253055_h_flip_rot_90.jpg,0.650767,0.650767,0.650767,0.650767,0.521936,0.596419
253055_original.jpg,0.634196,0.634196,0.633197,0.634196,0.634196,0.604998
253055_rot_180.jpg,0.636579,0.636579,0.631087,0.636579,0.595798,0.595798
253055_rot_270.jpg,0.655476,0.655476,0.655476,0.655476,0.655476,0.593386
253055_rot_90.jpg,0.654287,0.653207,0.653207,0.653207,0.644127,0.601939
253092_h_flip_rot_270.jpg,0.608005,0.608005,0.608005,0.608005,0.608005,0.576351
